City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,afaahiti,-17.75,-149.2833,29.93,84,33,8.54,PF,1714952442
83,hawaiian paradise park,19.5933,-154.9731,25.73,83,75,5.66,US,1714952442
84,ketchikan,55.3422,-131.6461,9.26,87,100,4.12,US,1714952400
85,kavieng,-2.5744,150.7967,29.22,71,100,0.89,PG,1714952442
86,pasni,25.2631,63.471,27.45,78,0,7.58,PK,1714952443
87,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,78,40,3.58,RU,1714952444
88,west island,-12.1568,96.8225,26.99,78,75,6.69,CC,1714952444
89,papatowai,-46.5619,169.4708,8.97,59,91,6.56,NZ,1714952444
90,xining,36.6167,101.7667,12.17,31,73,0.76,CN,1714952444
91,miandrivazo,-19.5167,45.4667,23.5,73,0,1.52,MG,1714952444
92,yishui,35.7847,118.6281,15.74,70,97,2.33,CN,1714952444
93,darwin,-12.4611,130.8418,26.64,57,0,5.66,AU,1714952402
94,punta arenas,-53.15,-70.9167,0.06,74,0,4.12,CL,1714952446
95,luba,3.4568,8.5547,26.94,83,79,3.28,GQ,1714952446
96,ancud,-41.8697,-73.8203,8.13,92,97,11.07,CL,1714952446
97,vizinga,61.0749,50.1031,-0.54,97,100,3.23,RU,1714952446
98,wurtulla,-26.7568,153.1256,22.81,93,35,2.24,AU,1714952446
99,north bend,43.4065,-124.2243,13.48,71,100,6.17,US,1714952446
100,forest hills,42.9595,-85.4898,17.8,62,73,0.83,US,1714952447
101,sotnikovskoye,45.0039,43.7772,8.2,87,100,0.33,RU,1714952447
102,port isabel,26.0734,-97.2086,29.04,86,100,5.66,US,1714952447
103,cabo san lucas,22.8909,-109.9124,30.34,30,75,3.09,MX,1714952447
104,constitucion,-35.3333,-72.4167,9.86,70,99,2.05,CL,1714952448
105,el hamma,33.8915,9.7963,18.62,36,23,2.74,TN,1714952448
106,al jawf,29.5,38.75,17.95,42,0,4.84,SA,1714952448
107,smithers,54.7804,-127.1743,12.18,71,100,1.54,CA,1714952448
108,sao paulo de olivenca,-3.3783,-68.8725,24.84,97,100,0.81,BR,1714952448
109,safford,32.834,-109.7076,32.51,8,0,7.72,US,1714952448
110,east london,-33.0153,27.9116,20.65,42,5,3.24,ZA,1714952449
111,st. john's,47.5649,-52.7093,0.93,89,20,0.45,CA,1714952340
112,saipan,15.1355,145.701,31.39,62,0,5.66,MP,1714952449
113,yilan,24.757,121.753,29.07,76,1,0.73,TW,1714952449
114,villa gesell,-37.2639,-56.973,17.25,94,100,4.83,AR,1714952450
115,nova sintra,14.8667,-24.7167,23.74,80,0,5.89,CV,1714952450
116,siwa oasis,29.2041,25.5195,18.56,55,0,3.48,EG,1714952450
117,kayangel,8.0823,134.7173,28.36,69,98,5.43,PW,1714952450
118,miquelon,47.0975,-56.3814,3.0,78,69,5.31,PM,1714952450
119,badger,64.8,-147.5333,14.99,38,20,4.12,US,1714952451
120,grand-bassam,5.2118,-3.7388,29.98,82,6,3.06,CI,1714952451
121,christchurch,-43.5333,172.6333,12.73,85,75,3.09,NZ,1714952134
122,tomohon,1.3346,124.8392,22.52,70,84,1.38,ID,1714952451
123,ust'-uda,54.1742,103.0304,12.74,51,97,3.89,RU,1714952451
124,shache,38.4167,77.2406,19.01,35,97,3.74,CN,1714952452
125,banyo,6.75,11.8167,20.94,79,23,1.17,CM,1714952452
126,salinopolis,-0.6136,-47.3561,26.9,89,86,5.77,BR,1714952452
127,eyl,7.9803,49.8164,28.06,82,67,2.75,SO,1714952452
128,saint-denis,48.9167,2.3333,13.43,92,0,3.09,FR,1714952452
129,kralendijk,12.15,-68.2667,28.99,84,75,5.66,BQ,1714952453
130,guiyang,26.5833,106.7167,16.27,94,75,0.0,CN,1714952453
131,krasnyy chikoy,50.3643,108.7512,12.02,66,2,1.18,RU,1714952453
132,new glasgow,45.5834,-62.6486,9.88,75,92,5.12,CA,1714952453
133,las heras,-46.5419,-68.9359,3.09,45,55,3.94,AR,1714952453
134,uyuni,-20.4597,-66.825,9.06,25,0,4.14,BO,1714952454
135,choyr,46.3611,108.3611,11.94,47,6,3.38,MN,1714952454
136,rizokarpaso,35.6,34.375,16.85,73,65,5.8,CY,1714952454
137,jos,9.9167,8.9,24.15,55,100,1.99,NG,1714952454
138,onega,63.9061,38.1404,-4.32,93,26,2.44,RU,1714952454
139,luuq,3.7938,42.5445,26.22,81,97,4.3,SO,1714952454
140,iqaluit,63.7506,-68.5145,-3.15,80,100,5.66,CA,1714952454
141,vadso,70.0744,29.7487,-0.51,86,75,6.17,NO,1714952454
142,kimbe,-5.5502,150.1429,27.82,86,100,0.38,PG,1714952455
143,hirara,24.8,125.2833,28.15,89,40,6.69,JP,1714952455
144,al ghayzah,16.2079,52.176,29.12,77,7,4.46,YE,1714952455
145,teyateyaneng,-29.1472,27.7489,10.5,43,0,1.31,LS,1714952455
146,manta,-0.95,-80.7333,27.88,74,40,3.09,EC,1714952408
147,fale old settlement,-9.3852,-171.2468,29.45,75,70,3.34,TK,1714952455
148,kidal,18.4411,1.4078,33.92,20,51,2.98,ML,1714952462
149,vilyuchinsk,52.9306,158.4028,6.15,66,48,1.36,RU,1714952469
150,tual,-5.6667,132.75,27.73,84,100,6.96,ID,1714952469
151,acarau,-2.8856,-40.12,26.02,90,100,4.08,BR,1714952470
152,aragarcas,-15.8975,-52.2508,23.07,59,1,1.13,BR,1714952470
153,sodankyla,67.4167,26.6,-9.97,97,30,1.92,FI,1714952470
154,santa cruz,-17.8,-63.1667,27.03,78,20,5.14,BO,1714952470
155,iskateley,67.6803,53.1512,-7.21,88,93,1.79,RU,1714952470
156,bathsheba,13.2167,-59.5167,29.34,79,20,7.2,BB,1714952470
157,melfort,52.8667,-104.6177,17.07,25,77,4.63,CA,1714952470
158,leua,48.2156,18.6071,11.71,89,67,0.98,SK,1714952471
159,hilton head island,32.2163,-80.7526,25.06,75,20,2.57,US,1714952290
160,ixtapa,20.7,-105.2,26.57,69,75,5.14,MX,1714952474
161,thinadhoo,0.5333,72.9333,29.62,78,99,6.6,MV,1714952474
162,singaparna,-7.3515,108.111,22.35,87,52,0.46,ID,1714952474
163,edna,28.9786,-96.6461,26.23,91,89,6.87,US,1714952474
164,wailua homesteads,22.0669,-159.378,28.24,77,20,7.2,US,1714952474
165,lebu,-37.6167,-73.65,9.46,77,63,4.94,CL,1714952475
166,luwuk,-0.9516,122.7875,25.77,84,73,1.38,ID,1714952476
167,talara,-4.5772,-81.2719,22.42,83,0,5.14,PE,1714952476
168,jamestown,42.097,-79.2353,19.77,90,100,3.09,US,1714952476
169,ntcheu,-14.8203,34.6359,16.05,76,2,0.98,MW,1714952476
170,port alfred,-33.5906,26.891,21.32,48,28,4.52,ZA,1714952476
171,vangviang,18.9333,102.45,22.54,87,55,0.25,LA,1714952477
172,khandyga,62.6667,135.6,1.99,100,100,1.42,RU,1714952477
173,chemini,36.6,4.6167,10.48,52,62,1.14,DZ,1714952477
174,jatoba,-9.1831,-38.2689,24.17,78,48,4.19,BR,1714952477
175,kapa'a,22.0752,-159.319,28.99,77,20,7.2,US,1714952477
176,coaldale,49.7167,-112.6185,15.62,66,100,4.63,CA,1714952477
177,harper,4.375,-7.7169,27.88,81,94,3.53,LR,1714952478
178,hithadhoo,-0.6,73.0833,29.56,78,100,6.64,MV,1714952478
179,altai,46.3722,96.2583,11.46,20,75,4.0,MN,1714952478
180,enewetak,11.3474,162.3373,27.92,76,97,7.36,MH,1714952479
181,whitehorse,60.7161,-135.0538,13.34,45,75,6.71,CA,1714952479
182,tralee,52.2704,-9.7026,8.73,96,30,1.42,IE,1714952479
183,xiuyan,40.2928,123.2744,13.23,87,100,4.68,CN,1714952479
184,porto velho,-8.7619,-63.9039,27.03,94,40,0.0,BR,1714952479
185,hamilton,39.1834,-84.5333,25.97,64,0,3.09,US,1714951865
186,nemuro,43.3236,145.575,7.29,93,100,2.97,JP,1714952480
187,puerto leguizamo,-0.1934,-74.7819,22.91,99,100,2.04,CO,1714952480
188,sitka,57.0531,-135.33,6.94,81,100,0.0,US,1714952480
189,praia da vitoria,38.7333,-27.0667,18.14,94,75,5.3,PT,1714952480
